drugName	score	gene_name	expert	Entrez
NICOTINE	0.46	CHRNA2	yes	1135
PANCURONIUM	5.32	CHRNA2	yes	1135
ROCURONIUM	4.78	CHRNA2	yes	1135
BIPERIDEN	1.82	CHRNA2	yes	1135
DECAMETHONIUM	7.44	CHRNA2	yes	1135
GANTACURIUM	3.19	CHRNA2	yes	1135
ATRACURIUM	1.28	CHRNA2	yes	1135
PIPECURONIUM	25.52	CHRNA2	yes	1135
TUBOCURARINE	6.38	CHRNA2	yes	1135
DOXACURIUM	9.57	CHRNA2	yes	1135
MECAMYLAMINE	2.55	CHRNA2	yes	1135
MIVACURIUM	9.57	CHRNA2	yes	1135
METOCURINE	22.33	CHRNA2	yes	1135
CARBACHOL	3.19	CHRNA2	yes	1135
CABOZANTINIB	0.57	CFLAR	yes	8837
BICALUTAMIDE	2.28	CFLAR	yes	8837
NINTEDANIB	0.41	CFLAR	yes	8837
IDRONOXIL	2.28	CFLAR	yes	8837
DOVITINIB	0.1	CFLAR	yes	8837
VADADUSTAT	3.99	EGLN1	yes	54583
ROXADUSTAT	5.98	EGLN1	yes	54583
DAPRODUSTAT	1.99	EGLN1	yes	54583
PONATINIB HYDROCHLORIDE	2.66	BCR	yes	613
SARACATINIB	0.41	BCR	yes	613
PONATINIB	0.79	BCR	yes	613
IMATINIB	0.78	BCR	yes	613
DASATINIB	0.29	BCR	yes	613
BRIVARACETAM	15.95	SV2A	yes	9900
SELETRACETAM	47.84	SV2A	yes	9900
LEVETIRACETAM	22.78	SV2A	yes	9900
ELOTUZUMAB	318.96	SLAMF7	yes	57823
TERUTROBAN	6.08	TBXA2R	yes	6915
RUCAPARIB	0.19	ATR	yes	545
NIRAPARIB	0.71	ATR	yes	545
OLAPARIB	0.43	ATR	yes	545
BERZOSERTIB	2.13	ATR	yes	545
VELIPARIB	0.64	ATR	yes	545
CERALASERTIB	4.78	ATR	yes	545
2X-121	1.06	ATR	yes	545
AMINOPHYLLINE	0.32	ADORA3	yes	140
NAMODENOSON	1.91	ADORA3	yes	140
THEOPHYLLINE	0.13	ADORA3	yes	140
OXTRIPHYLLINE	0.16	ADORA3	yes	140
THEOPHYLLINE SODIUM GLYCINATE	0.16	ADORA3	yes	140
CAFFEINE, CITRATED	0.4	ADORA3	yes	140
CAFFEINE	0.16	ADORA3	yes	140
ADENOSINE	1.45	ADORA3	yes	140
IB-MECA	2.13	ADORA3	yes	140
QAF805	0.8	ADORA3	yes	140
PICLIDENOSON	0.8	ADORA3	yes	140
LY377604	1.68	ADRB3	yes	155
ISOPROTERENOL HYDROCHLORIDE	0.34	ADRB3	yes	155
EPINEPHRINE	0.06	ADRB3	yes	155
EPINEPHRINE BITARTRATE	0.1	ADRB3	yes	155
AMIBEGRON HYDROCHLORIDE	1.68	ADRB3	yes	155
LABETALOL HYDROCHLORIDE	0.19	ADRB3	yes	155
RAFABEGRON	1.68	ADRB3	yes	155
DROXIDOPA	1.05	ADRB3	yes	155
CARVEDILOL	0.09	ADRB3	yes	155
DIPIVEFRIN HYDROCHLORIDE	0.21	ADRB3	yes	155
MIRABEGRON	2.1	ADRB3	yes	155
CARVEDILOL PHOSPHATE	0.34	ADRB3	yes	155
SOLABEGRON	2.24	ADRB3	yes	155
CARTEOLOL HYDROCHLORIDE	0.56	ADRB3	yes	155
AMIBEGRON	5.04	ADRB3	yes	155
RITOBEGRON	5.04	ADRB3	yes	155
NOREPINEPHRINE BITARTRATE	0.12	ADRB3	yes	155
MEPHENTERMINE SULFATE	0.21	ADRB3	yes	155
VIBEGRON	5.04	ADRB3	yes	155
HYDROXYAMPHETAMINE HYDROBROMIDE	0.19	ADRB3	yes	155
MITOXANTRONE	0.03	ABCG2	yes	9429
BITOPERTIN	10.63	SLC6A9	yes	6536
SULFINPYRAZONE	0.8	ABCC2	yes	1244
EVACETRAPIB	10.63	CETP	yes	1071
TORCETRAPIB	15.95	CETP	yes	1071
DALCETRAPIB	5.32	CETP	yes	1071
ANACETRAPIB	15.95	CETP	yes	1071
CETUXIMAB	0.21	NT5E	yes	4907
ASENAPINE	0.68	HTR5A	yes	3361
FINGOLIMOD	7.59	S1PR1	yes	1901
OZANIMOD	3.65	S1PR1	yes	1901
AMISELIMOD HYDROCHLORIDE	1.22	S1PR1	yes	1901
KRP203	6.08	S1PR1	yes	1901
FINGOLIMOD HYDROCHLORIDE	0.61	S1PR1	yes	1901
PONESIMOD	3.04	S1PR1	yes	1901
SIPONIMOD	3.65	S1PR1	yes	1901
OMIPALISIB	0.21	PIK3R4	yes	30849
COPANLISIB	0.44	PIK3R4	yes	30849
GEDATOLISIB	0.27	PIK3R4	yes	30849
APITOLISIB	0.17	PIK3R4	yes	30849
SONOLISIB	0.53	PIK3R4	yes	30849
PI-103	0.2	PIK3R4	yes	30849
PILARALISIB	0.2	PIK3R4	yes	30849
ALPELISIB	0.24	PIK3R4	yes	30849
PF-04691502	0.23	PIK3R4	yes	30849
BUPARLISIB	0.17	PIK3R4	yes	30849
QUERCETIN	0.05	PIK3R4	yes	30849
INFIGRATINIB	0.17	PIK3R4	yes	30849
VOXTALISIB	0.22	PIK3R4	yes	30849
GSK-2636771	0.25	PIK3R4	yes	30849
PICTILISIB	0.13	PIK3R4	yes	30849
DACTOLISIB	0.18	PIK3R4	yes	30849
MBX-2982	18.23	GPR119	yes	139760
EZOGABINE	1.82	KCNQ1	yes	3784
DALFAMPRIDINE	0.11	KCNQ1	yes	3784
BEPRIDIL	2.07	KCNQ1	yes	3784
INDOMETHACIN	0.12	KCNQ1	yes	3784
TEDISAMIL	0.12	KCNQ1	yes	3784
NERISPIRDINE	0.09	KCNQ1	yes	3784
GUANIDINE HYDROCHLORIDE	0.12	KCNQ1	yes	3784
INDAPAMIDE	6.83	KCNQ1	yes	3784
MYCOPHENOLATE MOFETIL	1.06	IMPDH1	yes	3614
AVN-944	3.19	IMPDH1	yes	3614
RIBAVIRIN	1.35	IMPDH1	yes	3614
MYCOPHENOLIC ACID	0.8	IMPDH1	yes	3614
MYCOPHENOLATE MOFETIL HYDROCHLORIDE	3.19	IMPDH1	yes	3614
THIOGUANINE	0.49	IMPDH1	yes	3614
PHENSERINE, (+)-	10.63	BACE2	yes	25825
MARIZOMIB	0.53	PSMB1	yes	5689
OPROZOMIB	0.55	PSMB1	yes	5689
BORTEZOMIB	0.71	PSMB1	yes	5689
IXAZOMIB CITRATE	0.56	PSMB1	yes	5689
CARFILZOMIB	1.12	PSMB1	yes	5689
ALISKIREN	43.86	REN	yes	5972
REMIKIREN	71.77	REN	yes	5972
ALISKIREN FUMARATE	7.97	REN	yes	5972
VTP-27999	23.92	REN	yes	5972
PEVONEDISTAT	31.9	UBA3	yes	9039
AMINOPHYLLINE	0.39	ADORA1	yes	134
TRABODENOSON	3.91	ADORA1	yes	134
THEOPHYLLINE	0.33	ADORA1	yes	134
OXTRIPHYLLINE	0.39	ADORA1	yes	134
TONAPOFYLLINE	1.95	ADORA1	yes	134
ROLOFYLLINE	1.3	ADORA1	yes	134
RPR749	1.3	ADORA1	yes	134
GW493838	1.3	ADORA1	yes	134
CAPADENOSON	2.6	ADORA1	yes	134
BAY1067197	1.3	ADORA1	yes	134
PENTOXIFYLLINE	0.08	ADORA1	yes	134
DERENOFYLLINE	0.65	ADORA1	yes	134
GS-9667	2.6	ADORA1	yes	134
THEOPHYLLINE SODIUM GLYCINATE	0.13	ADORA1	yes	134
PBF-680	1.3	ADORA1	yes	134
CAFFEINE, CITRATED	0.33	ADORA1	yes	134
CAFFEINE	0.48	ADORA1	yes	134
FK453	0.65	ADORA1	yes	134
ADENOSINE	0.95	ADORA1	yes	134
NAXIFYLLINE	1.3	ADORA1	yes	134
TECADENOSON	2.17	ADORA1	yes	134
AMP579	1.3	ADORA1	yes	134
SELODENOSON	2.6	ADORA1	yes	134
PX-12	31.9	TXN	yes	7295
R-348	1.06	SYK	yes	6850
CERDULATINIB	0.71	SYK	yes	6850
HMPL-523	1.06	SYK	yes	6850
R-343	2.13	SYK	yes	6850
TAK-659	2.13	SYK	yes	6850
PACLITAXEL	0.04	SYK	yes	6850
R-112	2.13	SYK	yes	6850
FOSTAMATINIB	6.38	SYK	yes	6850
PRT-2607	2.84	SYK	yes	6850
R-406	0.11	SYK	yes	6850
R-333	1.06	SYK	yes	6850
ENTOSPLETINIB	6.38	SYK	yes	6850
ENOXAPARIN	5.95	SERPINC1	yes	462
TINZAPARIN SODIUM	2.55	SERPINC1	yes	462
HEPARIN SODIUM	2.55	SERPINC1	yes	462
DALTEPARIN SODIUM	2.55	SERPINC1	yes	462
DANAPAROID SODIUM	2.55	SERPINC1	yes	462
SULODEXIDE	7.66	SERPINC1	yes	462
FONDAPARINUX SODIUM	2.55	SERPINC1	yes	462
HEPARIN	0.97	SERPINC1	yes	462
HEPARIN CALCIUM	2.55	SERPINC1	yes	462
ARDEPARIN SODIUM	10.21	SERPINC1	yes	462
TINZAPARIN	6.38	SERPINC1	yes	462
ENOXAPARIN SODIUM	2.55	SERPINC1	yes	462
FONDAPARINUX	17.86	SERPINC1	yes	462
SEMULOPARIN SODIUM	2.55	SERPINC1	yes	462
FASITIBANT CHLORIDE	4.91	BDKRB2	yes	624
ICATIBANT ACETATE	4.91	BDKRB2	yes	624
LABRADIMIL	24.54	BDKRB2	yes	624
ICATIBANT	14.72	BDKRB2	yes	624
ANATIBANT	24.54	BDKRB2	yes	624
MIDOSTAURIN	0.25	PRKCI	yes	5584
GSK-690693	0.29	PRKCI	yes	5584
QUERCETIN	0.08	PRKCI	yes	5584
SOTRASTAURIN	0.22	PRKCI	yes	5584
UCN-01	0.32	PRKCI	yes	5584
CEP-2563	0.38	PRKCI	yes	5584
FARLETUZUMAB	25.52	FOLR1	yes	2348
VINTAFOLIDE	9.57	FOLR1	yes	2348
HEXOBARBITAL	0.72	CHRNA7	yes	1139
NICOTINE	0.3	CHRNA7	yes	1139
METHARBITAL	0.36	CHRNA7	yes	1139
APN1125	1.45	CHRNA7	yes	1139
VARENICLINE	0.62	CHRNA7	yes	1139
BRADANICLINE	1.09	CHRNA7	yes	1139
PRIMIDONE	0.23	CHRNA7	yes	1139
SSR180711	4.35	CHRNA7	yes	1139
MEPHOBARBITAL	0.6	CHRNA7	yes	1139
ABT-107	1.45	CHRNA7	yes	1139
ENCENICLINE	7.25	CHRNA7	yes	1139
TALBUTAL	0.36	CHRNA7	yes	1139
ND0801	1.45	CHRNA7	yes	1139
GTS-21	7.25	CHRNA7	yes	1139
TC-6987	4.35	CHRNA7	yes	1139
THIOPENTAL	0.66	CHRNA7	yes	1139
ABT-126	2.9	CHRNA7	yes	1139
RG3487	0.48	CHRNA7	yes	1139
BUTABARBITAL	0.72	CHRNA7	yes	1139
PHENOBARBITAL	0.2	CHRNA7	yes	1139
BUTETHAL	0.72	CHRNA7	yes	1139
SECOBARBITAL	0.72	CHRNA7	yes	1139
AQW051	2.9	CHRNA7	yes	1139
PENTOBARBITAL	0.36	CHRNA7	yes	1139
AVL-3288	2.9	CHRNA7	yes	1139
BUTALBITAL	0.36	CHRNA7	yes	1139
AZD0328	2.9	CHRNA7	yes	1139
PHA-543613	2.9	CHRNA7	yes	1139
ASM-024	0.21	CHRNA7	yes	1139
JNJ-39393406	2.9	CHRNA7	yes	1139
APATORSEN	6.17	HSPB1	yes	3315
TAZEMETOSTAT	10.94	SMARCB1	yes	6598
PANOBINOSTAT	1.07	SMARCB1	yes	6598
VIDOFLUDIMUS	9.57	DHODH	yes	1723
TERIFLUNOMIDE	47.84	DHODH	yes	1723
LEFLUNOMIDE	25.25	DHODH	yes	1723
ADAPALENE	6.68	RARB	yes	5915
ACITRETIN	1.06	RARB	yes	5915
IRX4310	1.42	RARB	yes	5915
TRETINOIN	0.39	RARB	yes	5915
ALITRETINOIN	4.73	RARB	yes	5915
FENRETINIDE	0.16	RARB	yes	5915
ISOTRETINOIN	0.39	RARB	yes	5915
TAZAROTENE	4.25	RARB	yes	5915
MOFAROTENE	0.71	RARB	yes	5915
TAMIBAROTENE	8.51	RARB	yes	5915
ETRETINATE	1.82	RARB	yes	5915
DOXYCYCLINE CALCIUM	2.28	MMP13	yes	4322
DOXYCYCLINE HYCLATE	1.14	MMP13	yes	4322
PRINOMASTAT	2.6	MMP13	yes	4322
DOXYCYCLINE	2.28	MMP13	yes	4322
ANISINDIONE	1.52	GC	yes	2638
AFEGOSTAT TARTRATE	9.11	GC	yes	2638
METRELEPTIN	63.79	LEPR	yes	3953
DROTRECOGIN ALFA (ACTIVATED)	3.99	F5	yes	2153
THROMBIN	0.66	F5	yes	2153
AXITINIB	1.14	PDGFB	yes	5155
SUNITINIB	1.11	PDGFB	yes	5155
PEGPLERANIB SODIUM	5.32	PDGFB	yes	5155
AMANTADINE HYDROCHLORIDE	0.23	GRIN2C	yes	2905
GW468816	0.27	GRIN2C	yes	2905
APIMOSTINEL	0.27	GRIN2C	yes	2905
KETAMINE HYDROCHLORIDE	0.27	GRIN2C	yes	2905
ORPHENADRINE HYDROCHLORIDE	0.09	GRIN2C	yes	2905
LANICEMINE	0.54	GRIN2C	yes	2905
LATREPIRDINE	0.27	GRIN2C	yes	2905
RAPASTINEL	0.27	GRIN2C	yes	2905
NERAMEXANE MESYLATE	0.21	GRIN2C	yes	2905
ACAMPROSATE CALCIUM	0.08	GRIN2C	yes	2905
ESKETAMINE	0.27	GRIN2C	yes	2905
AV-101	0.27	GRIN2C	yes	2905
ESKETAMINE HYDROCHLORIDE	0.54	GRIN2C	yes	2905
MEMANTINE HYDROCHLORIDE	0.27	GRIN2C	yes	2905
AZD8108	0.27	GRIN2C	yes	2905
ORPHENADRINE CITRATE	0.09	GRIN2C	yes	2905
DIMIRACETAM	0.47	GRIN2C	yes	2905
NEBOGLAMINE	0.27	GRIN2C	yes	2905
DELUCEMINE	0.27	GRIN2C	yes	2905
CNS-5161	0.54	GRIN2C	yes	2905
INDANTADOL	0.42	GRIN2C	yes	2905
FELBAMATE	0.16	GRIN2C	yes	2905
RALFINAMIDE	0.1	GRIN2C	yes	2905
CAMICINAL	23.92	MLNR	yes	2862
MITEMCINAL	23.92	MLNR	yes	2862
ATILMOTIN	7.97	MLNR	yes	2862
ERGOLOID MESYLATES	0.17	DRD5	yes	1816
MELEVODOPA	0.28	DRD5	yes	1816
ZUCLOPENTHIXOL	1.59	DRD5	yes	1816
CARPHENAZINE	2.49	DRD5	yes	1816
AMOXAPINE	0.13	DRD5	yes	1816
OLANZAPINE	0.12	DRD5	yes	1816
APOMORPHINE	0.45	DRD5	yes	1816
FENOLDOPAM	1.33	DRD5	yes	1816
LEVODOPA	0.22	DRD5	yes	1816
PIMOZIDE	0.07	DRD5	yes	1816
ETILEVODOPA	0.4	DRD5	yes	1816
PERGOLIDE MESYLATE	0.28	DRD5	yes	1816
VADADUSTAT	10.63	EGLN2	yes	112398
ROXADUSTAT	15.95	EGLN2	yes	112398
DAPRODUSTAT	10.63	EGLN2	yes	112398
CLODRONIC ACID	25.52	SLC25A4	yes	291
RXDX-103	4.91	CDC7	yes	8317
BMS-863233	14.72	CDC7	yes	8317
NMS-1116354	9.81	CDC7	yes	8317
THEOPHYLLINE	0.33	PDE5A	yes	8654
SILDENAFIL	2.9	PDE5A	yes	8654
VARDENAFIL	17.28	PDE5A	yes	8654
CP-461	2.66	PDE5A	yes	8654
DIPYRIDAMOLE	0.46	PDE5A	yes	8654
PENTOXIFYLLINE	0.31	PDE5A	yes	8654
VARDENAFIL HYDROCHLORIDE	2.66	PDE5A	yes	8654
UDENAFIL	23.92	PDE5A	yes	8654
TADALAFIL	7.97	PDE5A	yes	8654
AVANAFIL	10.63	PDE5A	yes	8654
SILDENAFIL CITRATE	2.66	PDE5A	yes	8654
PENTOLINIUM TARTRATE	1.59	CHRNA3	yes	1136
VARENICLINE	1.37	CHRNA3	yes	1136
TRIMETHAPHAN CAMSYLATE	1.59	CHRNA3	yes	1136
MECAMYLAMINE HYDROCHLORIDE	1.59	CHRNA3	yes	1136
TC-6499	0.8	CHRNA3	yes	1136
LARAZOTIDE ACETATE	1.59	CHRNA3	yes	1136
ASM-024	0.46	CHRNA3	yes	1136
GABAPENTIN	0.21	CACNB2	yes	783
IMAGABALIN	0.26	CACNB2	yes	783
GABAPENTIN ENACARBIL	0.26	CACNB2	yes	783
PREGABALIN	0.26	CACNB2	yes	783
FELODIPINE	1.82	CACNB2	yes	783
ATAGABALIN	0.26	CACNB2	yes	783
BEPRIDIL HYDROCHLORIDE	0.26	CACNB2	yes	783
AMLODIPINE	1.06	CACNB2	yes	783
VERAPAMIL	0.47	CACNB2	yes	783
DICHLORPHENAMIDE	1.33	CA12	yes	771
ACETAZOLAMIDE	1.64	CA12	yes	771
ETHOXZOLAMIDE	1.23	CA12	yes	771
ACETAZOLAMIDE SODIUM	1.33	CA12	yes	771
CILANSETRON	3.62	HTR3A	yes	3359
DOLASETRON MESYLATE	1.45	HTR3A	yes	3359
DOLASETRON	2.36	HTR3A	yes	3359
ONDANSETRON HYDROCHLORIDE	0.72	HTR3A	yes	3359
ALOSETRON HYDROCHLORIDE	0.29	HTR3A	yes	3359
GRANISETRON	1.45	HTR3A	yes	3359
ROCURONIUM	0.48	HTR3A	yes	3359
PALONOSETRON	7.73	HTR3A	yes	3359
TEGASEROD	0.48	HTR3A	yes	3359
PRUCALOPRIDE	0.72	HTR3A	yes	3359
PALONOSETRON HYDROCHLORIDE	1.45	HTR3A	yes	3359
CISAPRIDE	1.45	HTR3A	yes	3359
MOSAPRIDE	0.72	HTR3A	yes	3359
MIRTAZAPINE	0.61	HTR3A	yes	3359
GRANISETRON HYDROCHLORIDE	1.45	HTR3A	yes	3359
OLANZAPINE	0.06	HTR3A	yes	3359
VORTIOXETINE	0.32	HTR3A	yes	3359
PUMOSETRAG	0.58	HTR3A	yes	3359
TEDATIOXETINE	0.33	HTR3A	yes	3359
VELUSETRAG	0.72	HTR3A	yes	3359
NARONAPRIDE	0.72	HTR3A	yes	3359
RG3487	0.24	HTR3A	yes	3359
ONDANSETRON	2.74	HTR3A	yes	3359
ESMIRTAZAPINE	0.48	HTR3A	yes	3359
RENZAPRIDE	0.87	HTR3A	yes	3359
VORTIOXETINE HYDROBROMIDE	0.48	HTR3A	yes	3359
ALOSETRON	20.3	HTR3A	yes	3359
METOCLOPRAMIDE HYDROCHLORIDE	0.48	HTR3A	yes	3359
MERCAPTOPURINE	2.66	HPRT1	yes	3251
BIMOCLOMOL	42.53	HSF1	yes	3297
CASOPITANT	2.28	SPR	yes	6697
TRADIPITANT	2.28	SPR	yes	6697
EZLOPITANT	2.28	SPR	yes	6697
VOFOPITANT	2.28	SPR	yes	6697
BURAPITANT	4.56	SPR	yes	6697
NETUPITANT	2.28	SPR	yes	6697
VESTIPITANT MESYLATE	4.56	SPR	yes	6697
FIGOPITANT	2.28	SPR	yes	6697
DNK333	4.56	SPR	yes	6697
ORVEPITANT	2.28	SPR	yes	6697
ROLAPITANT HYDROCHLORIDE	4.56	SPR	yes	6697
SERLOPITANT	2.28	SPR	yes	6697
APREPITANT	1.52	SPR	yes	6697
FOSAPREPITANT DIMEGLUMINE	4.56	SPR	yes	6697
ROCURONIUM BROMIDE	0.53	CHRNA1	yes	1134
PANCURONIUM BROMIDE	0.53	CHRNA1	yes	1134
SUCCINYLCHOLINE CHLORIDE	0.64	CHRNA1	yes	1134
PIPECURONIUM BROMIDE	0.64	CHRNA1	yes	1134
CISATRACURIUM BESYLATE	0.53	CHRNA1	yes	1134
ATRACURIUM BESYLATE	0.53	CHRNA1	yes	1134
MIVACURIUM CHLORIDE	0.64	CHRNA1	yes	1134
RAPACURONIUM BROMIDE	0.64	CHRNA1	yes	1134
METOCURINE IODIDE	0.64	CHRNA1	yes	1134
GALLAMINE TRIETHIODIDE	0.46	CHRNA1	yes	1134
DOXACURIUM CHLORIDE	0.64	CHRNA1	yes	1134
TUBOCURARINE CHLORIDE	0.64	CHRNA1	yes	1134
VECURONIUM BROMIDE	0.64	CHRNA1	yes	1134
DECAMETHONIUM BROMIDE	0.64	CHRNA1	yes	1134
ODANACATIB	15.95	CTSK	yes	1513
RELACATIB	25.52	CTSK	yes	1513
CHEMBL1085282	25.52	CTSK	yes	1513
BALICATIB	25.52	CTSK	yes	1513
DALFAMPRIDINE	0.37	KCNH4	yes	23415
TEDISAMIL	0.41	KCNH4	yes	23415
NERISPIRDINE	0.32	KCNH4	yes	23415
GUANIDINE HYDROCHLORIDE	0.41	KCNH4	yes	23415
TALAROZOLE	15.95	CYP26C1	yes	340665
G1T28-1	3.54	CDK6	yes	1021
PALBOCICLIB	0.53	CDK6	yes	1021
AT-7519	0.34	CDK6	yes	1021
FULVESTRANT	0.51	CDK6	yes	1021
ABEMACICLIB	1.27	CDK6	yes	1021
ALVOCIDIB	0.98	CDK6	yes	1021
RONICICLIB	0.18	CDK6	yes	1021
RIBOCICLIB SUCCINATE	1.77	CDK6	yes	1021
PHA-793887	0.17	CDK6	yes	1021
AZD-5438	0.18	CDK6	yes	1021
UCN-01	0.18	CDK6	yes	1021
RIBOCICLIB	1.77	CDK6	yes	1021
DEXAMETHASONE	0.08	CDK6	yes	1021
TB-403	42.53	PGF	yes	5228
CONBERCEPT	5.32	PGF	yes	5228
AFLIBERCEPT	12.76	PGF	yes	5228
DIPYRIDAMOLE	0.61	PDE6B	yes	5158
PENTOXIFYLLINE	0.94	PDE6B	yes	5158
OCRIPLASMIN	1.72	LAMC2	yes	3918
ANISTREPLASE	19.93	FGA	yes	2243
ALTEPLASE	1.68	FGA	yes	2243
FIBRINOLYSIN, HUMAN	1.99	FGA	yes	2243
RETEPLASE	15.95	FGA	yes	2243
ALFIMEPRASE	5.32	FGA	yes	2243
DALANTERCEPT	31.9	BMP10	yes	27302
EVEROLIMUS	0.44	FKBP1A	yes	2280
TEMSIROLIMUS	0.3	FKBP1A	yes	2280
SIROLIMUS	0.8	FKBP1A	yes	2280
GPI-1485	9.11	FKBP1A	yes	2280
PIMECROLIMUS	4.56	FKBP1A	yes	2280
TACROLIMUS	0.8	FKBP1A	yes	2280
OLOCROLIMUS	4.56	FKBP1A	yes	2280
VANDETANIB	0.04	ERBB3	yes	2065
SELUMETINIB	0.18	ERBB3	yes	2065
LAPATINIB	0.53	ERBB3	yes	2065
TRAMETINIB	0.1	ERBB3	yes	2065
CETUXIMAB	0.1	ERBB3	yes	2065
AFATINIB	0.85	ERBB3	yes	2065
DULIGOTUZUMAB	2.13	ERBB3	yes	2065
SAPITINIB	2.84	ERBB3	yes	2065
POZIOTINIB	0.85	ERBB3	yes	2065
AV-203	4.25	ERBB3	yes	2065
MM-111	3.19	ERBB3	yes	2065
DACOMITINIB	0.85	ERBB3	yes	2065
MM-121	8.51	ERBB3	yes	2065
GEFITINIB	0.13	ERBB3	yes	2065
PATRITUMAB	2.13	ERBB3	yes	2065
OSIMERTINIB MESYLATE	0.53	ERBB3	yes	2065
AMG-888	4.25	ERBB3	yes	2065
AC-480	0.53	ERBB3	yes	2065
MARGETUXIMAB	1.06	ERBB3	yes	2065
TRASTUZUMAB	0.62	ERBB3	yes	2065
PERTUZUMAB	1.59	ERBB3	yes	2065
INTERFERON ALFA-2B	13.29	IFNAR1	yes	3454
INTERFERON BETA-1B	2.66	IFNAR1	yes	3454
SIFALIMUMAB	2.66	IFNAR1	yes	3454
INTERFERON BETA-1A	2.66	IFNAR1	yes	3454
INTERFERON ALFACON-1	2.66	IFNAR1	yes	3454
PEGINTERFERON ALFA-2A	2.66	IFNAR1	yes	3454
PEGINTERFERON BETA-1A	2.66	IFNAR1	yes	3454
INTERFERON ALFA-N3	15.95	IFNAR1	yes	3454
PEGINTERFERON ALFA-2B	2.66	IFNAR1	yes	3454
INTERFERON ALFA-2A	2.66	IFNAR1	yes	3454
ALBINTERFERON ALFA-2B	2.66	IFNAR1	yes	3454
ME-344	0.42	NDUFA2	yes	4695
METFORMIN HYDROCHLORIDE	0.39	NDUFA2	yes	4695
NV-128	0.43	NDUFA2	yes	4695
BARDOXOLONE METHYL	0.36	IKBKB	yes	3551
MLN-0415	5.8	IKBKB	yes	3551
IMD-0354	5.8	IKBKB	yes	3551
MESALAMINE	0.58	IKBKB	yes	3551
AURANOFIN	5.8	IKBKB	yes	3551
IMD-1041	5.8	IKBKB	yes	3551
IMD-2560	2.9	IKBKB	yes	3551
AS-602868	1.45	IKBKB	yes	3551
SAR-113945	8.7	IKBKB	yes	3551
DIMETHYL FUMARATE	31.9	KEAP1	yes	9817
BARDOXOLONE METHYL	2.66	KEAP1	yes	9817
BPI-9016	1.14	AXL	yes	558
GILTERITINIB	1.71	AXL	yes	558
R428	2.28	AXL	yes	558
NKTR-171	0.11	SCN2A	yes	6326
ETHOTOIN	0.11	SCN2A	yes	6326
ARTICAINE HYDROCHLORIDE	0.11	SCN2A	yes	6326
ESLICARBAZEPINE ACETATE	0.11	SCN2A	yes	6326
PROPAFENONE HYDROCHLORIDE	0.08	SCN2A	yes	6326
PHENYTOIN SODIUM	0.11	SCN2A	yes	6326
MEPIVACAINE HYDROCHLORIDE	0.11	SCN2A	yes	6326
FOSPHENYTOIN SODIUM	0.11	SCN2A	yes	6326
ROPIVACAINE HYDROCHLORIDE	0.11	SCN2A	yes	6326
PRILOCAINE HYDROCHLORIDE	0.1	SCN2A	yes	6326
QUINIDINE GLUCONATE	0.11	SCN2A	yes	6326
DRONEDARONE HYDROCHLORIDE	0.07	SCN2A	yes	6326
PRIMIDONE	0.03	SCN2A	yes	6326
TETRACAINE	0.1	SCN2A	yes	6326
TETRACAINE HYDROCHLORIDE	0.11	SCN2A	yes	6326
PROPARACAINE HYDROCHLORIDE	0.11	SCN2A	yes	6326
PROPOFOL	0.11	SCN2A	yes	6326
ORPHENADRINE HYDROCHLORIDE	0.05	SCN2A	yes	6326
DISOPYRAMIDE PHOSPHATE	0.1	SCN2A	yes	6326
IRAMPANEL	0.08	SCN2A	yes	6326
QUINIDINE SULFATE	0.11	SCN2A	yes	6326
CHLOROPROCAINE HYDROCHLORIDE	0.11	SCN2A	yes	6326
TOCAINIDE HYDROCHLORIDE	0.11	SCN2A	yes	6326
TOPIRAMATE	0.1	SCN2A	yes	6326
PHENYTOIN	0.19	SCN2A	yes	6326
DYCLONINE HYDROCHLORIDE	0.07	SCN2A	yes	6326
EVENAMIDE	0.11	SCN2A	yes	6326
SAFINAMIDE	0.07	SCN2A	yes	6326
RILUZOLE	0.05	SCN2A	yes	6326
PHENACEMIDE	0.11	SCN2A	yes	6326
ETIDOCAINE HYDROCHLORIDE	0.11	SCN2A	yes	6326
MERETHOXYLLINE PROCAINE	0.11	SCN2A	yes	6326
OXCARBAZEPINE	0.21	SCN2A	yes	6326
QUINIDINE POLYGALACTURONATE	0.11	SCN2A	yes	6326
FOSPROPOFOL	0.27	SCN2A	yes	6326
NERISPIRDINE	0.02	SCN2A	yes	6326
ORPHENADRINE CITRATE	0.05	SCN2A	yes	6326
ESLICARBAZEPINE	0.11	SCN2A	yes	6326
ERLOSAMIDE	0.09	SCN2A	yes	6326
MORICIZINE HYDROCHLORIDE	0.09	SCN2A	yes	6326
ZONISAMIDE	0.42	SCN2A	yes	6326
MEXILETINE HYDROCHLORIDE	0.11	SCN2A	yes	6326
BENOXINATE HYDROCHLORIDE	0.1	SCN2A	yes	6326
INDECAINIDE HYDROCHLORIDE	0.11	SCN2A	yes	6326
RUFINAMIDE	0.1	SCN2A	yes	6326
TETRODOTOXIN	0.24	SCN2A	yes	6326
PRILOCAINE	0.1	SCN2A	yes	6326
PROPOXYCAINE HYDROCHLORIDE	0.11	SCN2A	yes	6326
PROCAINAMIDE HYDROCHLORIDE	0.11	SCN2A	yes	6326
MEPHENYTOIN	0.09	SCN2A	yes	6326
